"crash_unit_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"758369","JC469557","2019-10-12T01:57:00","1","DRIVER",,"720366",,"DODGE","NITRO","IL","2011","UNKNOWN","PASSENGER","UNKNOWN/NA","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758356","JC469523","2019-10-12T00:30:00","1","DRIVER",,"720356",,"VOLVO","XC90","IL","2020","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","S","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,"true",,,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758357","JC469523","2019-10-12T00:30:00","2","DRIVER",,"720355",,"UNKNOWN","UNKNOWN",,,"UNKNOWN","PICKUP","UNKNOWN/NA","S","OTHER",,,"1",,,,,,,,,,,,,,,"true",,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758329","JC469467","2019-10-11T23:41:00","1","DRIVER","2","720325",,"TOYOTA MOTOR COMPANY, LTD.","UNKNOWN","IL","2015","NONE","PASSENGER","PERSONAL","E","PASSING/OVERTAKING","true",,"3",,"unknown","unknown",,,,"true","true","true","true","true",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758330","JC469467","2019-10-11T23:41:00","2","DRIVER",,"720334",,"SUBARU","FORESTER","IL","2014","NONE","PASSENGER","PERSONAL","E","TURNING LEFT",,,"1",,,,,"true","true",,,,,,,,,,"true",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758358","JC469530","2019-10-11T23:40:00","1","DRIVER","2","720363",,"PONTIAC","GRAND PRIX","IL","2004","UNKNOWN","PASSENGER","PERSONAL","N","UNKNOWN/NA",,,"3",,,,,"true",,,,,,,,,,"true","true","true","OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758333","JC469482","2019-10-11T23:20:00","1","DRIVER",,"720328",,"CHEVROLET","IMPALA","IL","2017","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,,"UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758334","JC469482","2019-10-11T23:20:00","2","DRIVER",,"720336",,"NISSAN","NISSAN ALTIMA","IL","2017","UNKNOWN","PASSENGER","PERSONAL","N","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,,"true",,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758337","JC469457","2019-10-11T23:10:00","1","DRIVER","1","720331",,"PONTIAC","GRAND PRIX","IL","2008","UNKNOWN","PASSENGER","PERSONAL","N","TURNING RIGHT","true",,"2",,,,,"true",,,,,,,,,,"true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758284","JC469389","2019-10-11T21:15:00","1","DRIVER",,"720296",,"HYUNDAI","SONATA","IL","2011","SUSPENSION","PASSENGER","PERSONAL","W","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,"true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758285","JC469389","2019-10-11T21:15:00","2","DRIVER","1","720302",,"TOYOTA MOTOR COMPANY, LTD.","YARIS","IL","2015","NONE","PASSENGER","PERSONAL","W","SLOW/STOP IN TRAFFIC",,,"2",,,,,,,,,"true","false",,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758268","JC469341","2019-10-11T20:55:00","1","DRIVER",,"720270",,"TOYOTA MOTOR COMPANY, LTD.","UNKNOWN","IL","2013","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758269","JC469341","2019-10-11T20:55:00","2","PARKED",,"720273",,"FORD","F150","IL","2014","NONE","PASSENGER","PERSONAL","S","PARKED",,,"0",,,,,,,,,,"true",,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758296","JC469422","2019-10-11T20:30:00","1","DRIVER",,"720299","false","CHEVROLET","UNKNOWN","IL","2019","NONE","TRUCK - SINGLE UNIT","OTHER","W","STRAIGHT AHEAD",,,"1",,,,,,,"true","true",,,,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758244","JC469318","2019-10-11T20:30:00","1","DRIVER",,"720249",,"HYUNDAI","UNKNOWN","IL","2004","UNKNOWN","PASSENGER","PERSONAL","W","TURNING RIGHT",,,"1",,,,,"true",,,,,,,,,,,,,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758245","JC469318","2019-10-11T20:30:00","2","DRIVER",,"720257",,"HYUNDAI","UNKNOWN","IL","2019","UNKNOWN","PASSENGER","PERSONAL","W","OTHER",,,"1",,,,,,,,,,,"true",,,,,,,"FRONT-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758230","JC469300","2019-10-11T19:50:00","1","DRIVER",,"720238",,"TOYOTA MOTOR COMPANY, LTD.","Avalon","IL","1996","UNKNOWN","PASSENGER","PERSONAL","W","STRAIGHT AHEAD","true",,"1",,"private tow","pivate",,,,,,,,,,,,,"true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
